year,month,avg_diff
1989,11,-0.081211277
1989,12,-0.013409351
1990,1,-1.229826556
1990,2,0.843505664
1990,3,4.963824642
1990,4,2.653808949
1990,5,1.962772987
1990,6,-0.425144442
1990,7,-0.638377053
1990,8,0.902623628
1990,9,-1.333592316
1990,10,0.249994587
1990,11,-0.399326661
1990,12,-0.694501162
1991,1,-3.293920849
1991,2,-1.117703127
1991,3,2.109916453
1991,4,0.942001257
1991,5,-1.828504928
1991,6,-4.234157262
1991,7,1.445124613
1991,8,0.953616184
1991,9,0.252535889
1991,10,-0.159360252
1991,11,1.056827185
1991,12,-0.10926543
1992,1,-2.078660303
1992,2,-2.937786492
1992,3,2.251603798
1992,4,-0.598383359
1992,5,2.607475221
1992,6,1.103919661
1992,7,0.586920714
1992,8,-0.080006645
1992,9,-0.264130778
1992,10,-3.525241145
1992,11,0.030545133
1992,12,-0.814269566
1993,1,-3.040695042
1993,2,-3.483362467
1993,3,1.251355659
1993,4,1.324787497
1993,5,2.769985812
1993,6,-2.38537322
1993,7,-1.354168842
1993,8,-2.362918894
1993,9,-3.010016559
1993,10,-1.106281073
1993,11,-1.430620368
1993,12,-1.072676213
1994,1,-1.959914532
1994,2,3.009382288
1994,3,0.60641995
1994,4,1.960672585
1994,5,-0.746596514
1994,6,-2.177735351
1994,7,3.995244648
1994,8,1.00189049
1994,9,0.219680411
1994,10,-1.184726821
1994,11,0.76695539
1994,12,-0.042617562
1995,1,-0.710794298
1995,2,-2.56474397
1995,3,1.365950742
1995,4,-0.455539536
1995,5,-1.292490942
1995,6,-1.10243232
1995,7,0.172905589
1995,8,1.671037607
1995,9,-0.363842316
1995,10,2.205021469
1995,11,-2.175822388
1995,12,3.569975077
1996,1,0.531571294
1996,2,2.754556568
1996,3,0.567745665
1996,4,0.937880378
1996,5,-2.66390904
1996,6,-1.738644442
1996,7,-2.188085824
1996,8,1.709420863
1996,9,-2.277949459
1996,10,0.592367859
1996,11,0.777074437
1996,12,2.55500256
1997,1,-0.715384869
1997,2,-3.574571259
1997,3,1.571578984
1997,4,-1.053383359
1997,5,-1.731110387
1997,6,-0.817747006
1997,7,1.07248016
1997,8,4.097660849
1997,9,0.647151273
1997,10,-2.519961646
1997,11,-0.621506149
1997,12,-0.838049549
1998,1,-2.966377424
1998,2,-1.726494336
1998,3,-0.30844583
1998,4,-1.191075666
1998,5,-0.283467707
1998,6,-3.088259826
1998,7,-1.712120866
1998,8,-2.279138158
1998,9,0.17856153
1998,10,-0.961469433
1998,11,-0.984454867
1998,12,-0.261126472
1999,1,-1.309677673
1999,2,-1.546549281
1999,3,0.786094488
1999,4,2.147514077
1999,5,-1.442152571
1999,6,-0.944051161
1999,7,1.27410493
1999,8,-0.370234681
1999,9,2.779202555
1999,10,0.069299798
1999,11,1.711057954
1999,12,0.149419434
2000,1,-3.281265762
2000,2,-3.1388475
2000,3,0.744655907
2000,4,1.724572107
2000,5,1.466038276
2000,6,-2.228922219
2000,7,-1.523446612
2000,8,-0.968462529
2000,9,-1.38652394
2000,10,2.667072699
2000,11,3.580716074
2000,12,0.587365739
2001,1,-2.587130958
2001,2,0.072111936
2001,3,1.010792117
2001,4,0.156744107
2001,5,0.004355956
2001,6,-1.912288186
2001,7,1.625984312
2001,8,0.061690514
2001,9,-0.490782793
2001,10,2.042466517
2001,11,0.125730319
2001,12,1.136635272
2002,1,-3.205075823
2002,2,-2.095000829
2002,3,1.645716137
2002,4,1.496884707
2002,5,1.151912772
2002,6,-0.33753333
2002,7,0.62281063
2002,8,2.986201341
2002,9,0.06907435
2002,10,-3.874169636
2002,11,-1.941984004
2002,12,3.098291529
2003,1,0.384073737
2003,2,0.961492677
2003,3,1.557153088
2003,4,-0.747054687
2003,5,-0.002608244
2003,6,-1.027735351
2003,7,1.470757844
2003,8,0.054823042
2003,9,0.316341431
2003,10,-3.505401308
2003,11,1.35195539
2003,12,-0.477716923
2004,1,1.408267286
2004,2,-2.232047403
2004,3,0.582079774
2004,4,1.093854404
2004,5,0.155602899
2004,6,-2.334705048
2004,7,-1.830121921
2004,8,0.942066444
2004,9,0.264377381
2004,10,-0.7835538
